"Date","Price","Open","High","Low","Vol.","Change %"
"May 29, 2019","2.67","2.66","2.69","2.66","177.50K","0.00%"
"May 28, 2019","2.67","2.70","2.70","2.67","1.19","-1.11%"
"May 27, 2019","2.70","2.66","2.70","2.66","916.20K","1.50%"
"May 26, 2019","2.66","2.67","2.67","2.65","309.00K","0.00%"
"May 23, 2019","2.66","2.68","2.68","2.66","27.40K","-0.75%"
"May 22, 2019","2.68","2.66","2.68","2.66","83.60K","0.75%"
"May 21, 2019","2.66","2.69","2.70","2.66","262.20K","-1.12%"
"May 20, 2019","2.69","2.66","2.70","2.66","856.70K","0.75%"
"May 19, 2019","2.67","2.68","2.68","2.65","286.00K","0.38%"
"May 16, 2019","2.66","2.67","2.67","2.66","351.50K","-0.37%"
"May 15, 2019","2.67","2.68","2.68","2.67","376.10K","-1.11%"
"May 14, 2019","2.70","2.67","2.71","2.67","1.67","1.12%"
"May 13, 2019","2.67","2.68","2.68","2.67","891.20K","-1.11%"
"May 12, 2019","2.70","2.69","2.70","2.69","2.11","0.00%"
"May 09, 2019","2.70","2.66","2.74","2.66","1.94","1.89%"
"May 08, 2019","2.65","2.64","2.65","2.64","1.28","0.76%"
"May 07, 2019","2.63","2.65","2.65","2.63","321.45K","-0.75%"
"May 06, 2019","2.65","2.63","2.65","2.63","1.06","0.76%"
"May 05, 2019","2.63","2.63","2.64","2.62","510.38K","0.00%"
"May 02, 2019","2.63","2.61","2.65","2.61","237.74K","0.00%"
"May 01, 2019","2.63","2.59","2.63","2.59","483.61K","1.15%"
"Apr 30, 2019","2.60","2.62","2.62","2.60","359.15K","-1.14%"
"Apr 29, 2019","2.63","2.64","2.64","2.63","56.79K","-0.38%"
"Apr 28, 2019","2.64","2.65","2.65","2.63","11.06K","-0.38%"
"Apr 25, 2019","2.65","2.61","2.65","2.59","1.39","1.53%"
"Apr 24, 2019","2.61","2.59","2.62","2.59","7.45","0.77%"
"Apr 23, 2019","2.59","2.59","2.60","2.58","619.62K","0.00%"
"Apr 22, 2019","2.59","2.65","2.66","2.59","1.17","-3.00%"
"Apr 21, 2019","2.67","2.65","2.67","2.64","256.43K","2.30%"
"Apr 18, 2019","2.61","2.67","2.67","2.61","2.62","-2.25%"
"Apr 17, 2019","2.67","2.68","2.68","2.67","1.16","-0.74%"
"Apr 16, 2019","2.69","2.68","2.70","2.67","593.53K","0.37%"
"Apr 15, 2019","2.68","2.67","2.72","2.66","5.86","-0.37%"
"Apr 14, 2019","2.69","2.71","2.73","2.69","1.55","-0.74%"
"Apr 11, 2019","2.71","2.78","2.78","2.69","2.58","-3.21%"
"Apr 10, 2019","2.80","2.80","2.83","2.79","2.69","0.00%"
"Apr 09, 2019","2.80","2.81","2.86","2.75","3.11","-0.36%"
"Apr 08, 2019","2.81","2.71","2.82","2.71","3.59","4.07%"
"Apr 07, 2019","2.70","2.54","2.80","2.54","5.59","8.00%"
"Apr 04, 2019","2.50","2.45","2.51","2.40","5.27","2.04%"
"Apr 03, 2019","2.45","2.31","2.51","2.27","10.53","6.06%"
"Apr 02, 2019","2.31","2.22","2.35","2.22","4.11","4.05%"
"Apr 01, 2019","2.22","2.25","2.25","2.22","310.67K","0.00%"
"Mar 31, 2019","2.22","2.22","2.22","2.19","41.20K","-1.33%"
"Mar 28, 2019","2.25","2.25","2.25","2.25","93.85K","0.00%"
"Mar 27, 2019","2.25","2.22","2.25","2.22","452.25K","1.81%"
"Mar 26, 2019","2.21","2.00","2.23","2.00","16.19","2.31%"
"Mar 25, 2019","2.16","2.19","2.20","2.16","147.74K","-0.92%"
"Mar 24, 2019","2.18","2.18","2.18","2.15","525.00K","-0.46%"
"Mar 21, 2019","2.19","2.21","2.21","2.19","188.67K","-1.35%"
"Mar 20, 2019","2.22","2.20","2.23","2.20","9.09","0.91%"
"Mar 19, 2019","2.20","2.19","2.20","2.19","2.51","0.00%"
"Mar 18, 2019","2.20","2.24","2.24","2.20","186.42K","1.85%"
"Mar 17, 2019","2.16","2.23","2.23","2.16","100.80K","-1.82%"
"Mar 14, 2019","2.20","2.15","2.22","2.15","1.90","1.85%"
"Mar 13, 2019","2.16","2.19","2.19","2.16","109.07K","-1.37%"
"Mar 12, 2019","2.19","2.20","2.21","2.19","4.53","0.00%"
"Mar 11, 2019","2.19","2.19","2.20","2.19","2.94","0.00%"
"Mar 10, 2019","2.19","2.19","2.19","2.18","365.63K","0.00%"
"Mar 07, 2019","2.19","2.20","2.21","2.19","519.85K","-0.90%"
"Mar 06, 2019","2.21","2.19","2.21","2.18","837.19K","0.91%"
"Mar 05, 2019","2.19","2.22","2.22","2.19","2.42","-1.35%"
"Mar 04, 2019","2.22","2.23","2.23","2.22","4.01","0.45%"
"Mar 03, 2019","2.21","2.19","2.23","2.19","57.70K","-0.90%"
"Feb 28, 2019","2.23","2.23","2.23","2.21","461.32K","-0.45%"
"Feb 27, 2019","2.24","2.24","2.24","2.24","230.28K","0.00%"
"Feb 26, 2019","2.24","2.23","2.25","2.23","1.31","0.90%"
"Feb 25, 2019","2.22","2.23","2.25","2.22","466.23K","-0.89%"
"Feb 24, 2019","2.24","2.21","2.24","2.21","304.70K","-0.44%"
"Feb 21, 2019","2.25","2.22","2.25","2.20","1.38","1.81%"
"Feb 20, 2019","2.21","2.18","2.21","2.18","1.65","0.45%"
"Feb 19, 2019","2.20","2.22","2.22","2.19","5.89","-1.35%"
"Feb 18, 2019","2.23","2.24","2.24","2.22","187.99K","0.00%"
"Feb 17, 2019","2.23","2.24","2.24","2.21","367.74K","0.90%"
"Feb 14, 2019","2.21","2.26","2.26","2.21","396.03K","-1.34%"
"Feb 13, 2019","2.24","2.24","2.25","2.24","5.81","-0.88%"
"Feb 12, 2019","2.26","2.25","2.26","2.25","110.98K","0.00%"
"Feb 11, 2019","2.26","2.23","2.26","2.22","19.56K","1.80%"
"Feb 10, 2019","2.22","2.23","2.27","2.22","79.42K","-0.45%"
"Feb 07, 2019","2.23","2.22","2.27","2.22","73.72K","-0.45%"
"Feb 06, 2019","2.24","2.24","2.24","2.23","127.88K","0.00%"
"Feb 05, 2019","2.24","2.25","2.26","2.24","246.85K","-1.75%"
"Feb 04, 2019","2.28","2.26","2.28","2.25","3.61","0.88%"
"Feb 03, 2019","2.26","2.28","2.28","2.26","486.87K","-2.16%"
"Jan 31, 2019","2.31","2.28","2.31","2.28","267.87K","-0.43%"
"Jan 30, 2019","2.32","2.29","2.32","2.28","1.30","1.31%"
"Jan 29, 2019","2.29","2.23","2.29","2.23","65.69K","1.33%"
"Jan 28, 2019","2.26","2.22","2.26","2.20","88.56K","0.00%"
"Jan 27, 2019","2.26","2.22","2.26","2.22","47.31K","-1.31%"
"Jan 24, 2019","2.29","2.22","2.29","2.21","106.10K","3.15%"
"Jan 23, 2019","2.22","2.22","2.22","2.22","30.09K","0.00%"
"Jan 22, 2019","2.22","2.19","2.22","2.19","56.54K","0.00%"
"Jan 21, 2019","2.22","2.22","2.22","2.20","861.33K","-0.89%"
"Jan 20, 2019","2.24","2.25","2.25","2.24","111.79K","0.00%"
"Jan 17, 2019","2.24","2.30","2.30","2.24","264.13K","-2.61%"
"Jan 16, 2019","2.30","2.29","2.31","2.29","712.07K","0.00%"
"Jan 15, 2019","2.30","2.30","2.30","2.29","805.62K","-0.43%"
"Jan 14, 2019","2.31","2.31","2.31","2.30","2.17","0.00%"
"Jan 13, 2019","2.31","2.31","2.31","2.31","175.82K","-0.43%"
"Jan 10, 2019","2.32","2.31","2.32","2.31","40.49K","-0.43%"
"Jan 09, 2019","2.33","2.34","2.34","2.31","300.97K","-0.43%"
"Jan 08, 2019","2.34","2.31","2.34","2.29","874.85K","1.74%"
"Jan 07, 2019","2.30","2.31","2.31","2.30","1.45","-0.43%"
"Jan 06, 2019","2.31","2.34","2.34","2.31","129.00K","-0.43%"
"Jan 03, 2019","2.32","2.32","2.32","2.30","906.30K","-0.85%"
"Jan 02, 2019","2.34","2.32","2.34","2.31","344.17K","0.86%"
"Dec 31, 2018","2.32","2.31","2.32","2.29","1.08","1.31%"
"Dec 30, 2018","2.29","2.29","2.31","2.29","344.94K","-0.43%"
"Dec 27, 2018","2.30","2.30","2.31","2.30","2.74","0.44%"
"Dec 26, 2018","2.29","2.29","2.30","2.29","671.75K","0.00%"
"Dec 25, 2018","2.29","2.30","2.31","2.29","302.16K","-1.29%"
"Dec 24, 2018","2.32","2.30","2.32","2.29","1.42","0.87%"
"Dec 23, 2018","2.30","2.30","2.30","2.29","2.29","-0.43%"
"Dec 20, 2018","2.31","2.30","2.31","2.29","904.59K","0.43%"
"Dec 19, 2018","2.30","2.28","2.30","2.28","114.60K","0.88%"
"Dec 18, 2018","2.28","2.28","2.29","2.28","3.41","-0.87%"
"Dec 17, 2018","2.30","2.28","2.30","2.28","466.58K","0.88%"
"Dec 16, 2018","2.28","2.29","2.30","2.28","121.11K","-0.44%"
"Dec 13, 2018","2.29","2.29","2.30","2.29","71.98K","-0.43%"
"Dec 12, 2018","2.30","2.27","2.30","2.27","503.00K","0.00%"
"Dec 11, 2018","2.30","2.28","2.30","2.28","275.29K","1.32%"
